date,home_team,away_team,home_score,away_score,league,season
5/14/23,Brentford,West Ham,2,0,premierleague,2022
N/A,Everton,Man City,0,3,premierleague,2022
N/A,Arsenal,Brighton,0,3,premierleague,2022
5/15/23,Leicester,Liverpool,0,3,premierleague,2022
5/20/23,Tottenham,Brentford,1,3,premierleague,2022
N/A,Bournemouth,Man Utd,0,1,premierleague,2022
N/A,Fulham,Crystal Palace,2,2,premierleague,2022
N/A,Liverpool,Aston Villa,1,1,premierleague,2022
N/A,Wolves,Everton,1,1,premierleague,2022
N/A,Nottm Forest,Arsenal,1,0,premierleague,2022
5/21/23,West Ham,Leeds,3,1,premierleague,2022
N/A,Brighton,Southampton,3,1,premierleague,2022
N/A,Man City,Chelsea,1,0,premierleague,2022
5/22/23,Newcastle,Leicester,0,0,premierleague,2022
5/28/23,Arsenal,Wolves,5,0,premierleague,2022
N/A,Aston Villa,Brighton,2,1,premierleague,2022
N/A,Brentford,Man City,1,0,premierleague,2022
N/A,Chelsea,Newcastle,1,1,premierleague,2022
N/A,Crystal Palace,Nottm Forest,1,1,premierleague,2022
N/A,Everton,Bournemouth,1,0,premierleague,2022
N/A,Leeds,Tottenham,1,4,premierleague,2022
N/A,Leicester,West Ham,2,1,premierleague,2022
N/A,Man Utd,Fulham,2,1,premierleague,2022
N/A,Southampton,Liverpool,4,4,premierleague,2022
